Product Category,Current Stock,Previous Month Sales,Average Weekly Sales,Current Selling Price,Competitor Price,Customer Rating,Festival Season,Predicted Demand
Home & Kitchen,463,363,92.38,123.4,122.06,3.5,Yes,477
Grocery,480,164,44.03,2.83,2.96,3.9,No,212
Home & Kitchen,509,478,118.75,127.49,124.49,3.8,No,519
Beauty & Personal Care,371,343,84.2,12.68,13.82,3.5,No,379
Home & Kitchen,392,469,120.64,42.94,42.0,4.2,Yes,591
Fashion,460,274,62.62,39.96,43.71,4.1,No,331
Sports & Outdoors,221,229,58.94,213.47,224.03,3.9,No,288
Electronics,293,171,37.46,992.31,907.87,4.3,No,199
Grocery,37,275,69.38,23.0,24.61,4.3,No,327
Beauty & Personal Care,9,113,27.02,50.57,48.29,2.5,No,156
Fashion,245,269,65.41,74.31,69.88,4.1,No,317
Sports & Outdoors,247,499,118.79,73.58,72.26,3.3,Yes,606
Sports & Outdoors,335,298,77.25,203.86,191.08,4.1,No,336
Electronics,415,245,60.17,1102.17,1051.94,3.0,Yes,318
Electronics,476,332,81.81,504.5,549.19,3.7,No,381
Electronics,85,456,118.21,1160.57,1102.96,2.6,No,461
Grocery,134,127,31.56,2.28,2.21,4.1,No,151
Sports & Outdoors,202,430,111.94,154.28,141.35,3.0,No,452
Sports & Outdoors,407,409,103.79,50.42,50.5,4.3,No,471
Home & Kitchen,477,366,93.32,28.27,30.76,4.2,No,389
Fashion,576,165,46.87,45.85,42.87,4.2,No,224
Grocery,591,23,7.25,8.05,8.37,4.0,No,81
Electronics,157,470,119.46,759.72,740.31,4.7,No,540
Beauty & Personal Care,396,183,47.17,20.67,18.68,3.0,No,221
Grocery,42,415,105.0,13.46,13.83,2.6,No,442
Grocery,520,41,11.49,20.18,20.19,3.7,Yes,196
Grocery,103,206,48.29,23.6,25.74,4.2,No,265
Grocery,132,202,44.67,21.55,20.66,4.6,No,252
Fashion,159,295,77.04,140.55,128.47,3.7,No,325
Electronics,412,407,98.2,887.61,862.67,4.5,No,439
Beauty & Personal Care,404,330,84.05,65.48,67.44,5.0,No,395
Sports & Outdoors,58,65,15.02,124.42,125.48,4.4,Yes,175
Grocery,354,458,117.4,7.88,8.61,3.5,No,524
Home & Kitchen,62,158,41.4,195.41,196.05,4.6,No,213
Fashion,100,243,66.09,22.86,24.76,3.4,No,311
Beauty & Personal Care,80,387,97.96,53.96,54.14,3.3,No,448
Fashion,457,158,37.46,27.71,26.66,3.7,No,192
Beauty & Personal Care,104,53,13.07,32.93,32.7,3.6,No,103
Fashion,520,194,52.82,82.92,88.83,2.9,No,243
Fashion,431,490,122.94,94.08,102.36,2.6,No,533
Beauty & Personal Care,306,282,71.82,73.19,68.74,3.8,Yes,392
Beauty & Personal Care,497,424,106.62,57.08,55.26,3.9,No,447
Grocery,196,427,106.48,24.24,24.47,3.5,No,485
Home & Kitchen,529,480,121.58,57.5,58.43,4.0,No,539
Electronics,400,369,96.17,486.05,524.5,3.9,No,438
Home & Kitchen,473,353,87.88,103.67,95.03,4.0,No,387
Home & Kitchen,227,67,18.62,27.33,27.3,4.3,Yes,219
Home & Kitchen,198,23,6.96,154.69,158.35,3.6,No,78
Beauty & Personal Care,136,43,6.41,66.52,72.47,2.9,No,97
Grocery,177,459,111.89,10.38,10.81,3.3,No,477
Beauty & Personal Care,5,256,61.95,16.55,15.28,3.9,No,289
Electronics,177,205,53.53,651.6,597.24,2.1,No,223
Beauty & Personal Care,536,317,79.46,79.49,72.71,4.6,No,363
Electronics,362,387,93.85,881.77,861.35,4.2,No,428
Home & Kitchen,182,422,101.14,45.74,45.41,4.4,No,459
Home & Kitchen,562,206,47.49,96.12,87.13,3.4,No,222
Grocery,246,267,66.38,15.16,16.43,4.4,Yes,377
Electronics,465,388,97.57,1001.08,1098.64,4.1,No,462
Electronics,569,112,29.03,937.41,1014.87,5.0,No,207
Sports & Outdoors,352,15,1.0,239.2,244.28,4.4,No,62
Fashion,393,264,70.65,85.22,91.22,4.0,No,313
Beauty & Personal Care,310,355,96.37,54.03,57.33,4.1,No,421
Fashion,339,352,84.45,137.06,132.9,2.5,No,393
Grocery,73,95,19.61,23.81,22.13,3.9,No,152
Fashion,187,276,62.8,100.51,95.29,3.8,Yes,363
Home & Kitchen,65,374,98.0,142.34,139.83,3.9,No,435
Fashion,350,65,13.8,26.97,24.92,3.5,No,95
Fashion,341,263,62.27,79.95,82.95,3.0,No,297
Fashion,530,306,78.34,39.91,37.59,4.4,No,342
Fashion,367,379,98.85,23.42,21.77,4.2,No,422
Home & Kitchen,43,288,76.57,56.07,53.48,2.2,No,302
Fashion,113,140,33.04,31.17,33.6,5.0,No,216
Fashion,558,125,35.94,90.3,91.86,4.3,No,176
Fashion,281,334,79.35,92.06,89.41,3.9,No,377
Sports & Outdoors,141,84,19.05,58.84,56.31,3.6,Yes,200
Beauty & Personal Care,122,50,10.01,79.8,86.13,4.5,Yes,184
Electronics,439,108,28.5,1125.84,1138.62,3.2,No,151
Fashion,324,132,34.48,110.98,104.31,4.1,No,205
Sports & Outdoors,14,307,79.04,90.35,92.05,3.9,No,381
Fashion,423,27,12.7,107.42,98.57,3.8,No,69
Sports & Outdoors,576,109,27.76,57.59,52.6,4.0,No,159
Electronics,414,243,61.09,361.71,337.38,4.2,No,281
Sports & Outdoors,426,146,38.96,175.5,173.81,2.7,No,154
Electronics,43,167,46.28,523.13,511.78,3.4,No,211
Grocery,293,212,53.5,9.37,8.69,4.3,No,279
Home & Kitchen,526,171,43.0,38.82,37.36,4.5,Yes,289
Beauty & Personal Care,19,137,33.03,46.63,45.5,4.1,No,184
Home & Kitchen,287,346,87.63,156.66,141.38,4.8,No,423
Beauty & Personal Care,145,162,35.16,41.26,44.95,4.9,Yes,304
Grocery,55,474,115.69,3.9,4.23,4.7,No,534
Beauty & Personal Care,5,476,116.03,78.91,84.26,3.8,Yes,587
Beauty & Personal Care,79,445,114.53,11.94,11.55,3.2,No,462
Sports & Outdoors,183,400,95.33,230.84,234.86,2.0,Yes,491
Home & Kitchen,473,212,48.41,16.44,15.82,3.4,No,261
Electronics,364,469,117.14,735.17,788.2,4.2,No,568
Beauty & Personal Care,433,492,123.18,62.0,58.4,3.8,Yes,603
Beauty & Personal Care,506,300,75.91,29.17,30.42,4.7,No,335
Sports & Outdoors,384,449,108.53,51.48,48.21,2.9,No,464
Electronics,332,101,24.48,729.31,693.41,4.6,Yes,219
Grocery,124,65,15.86,16.84,15.96,3.7,No,110
Sports & Outdoors,11,414,108.44,63.17,60.56,3.2,No,468
Beauty & Personal Care,527,161,42.56,16.84,18.11,4.9,No,240
Fashion,230,400,99.01,127.14,123.2,3.8,No,436
Fashion,119,356,90.42,120.27,110.99,4.1,No,403
Electronics,498,28,9.61,572.68,540.38,4.6,No,81
Beauty & Personal Care,157,112,29.04,27.61,24.95,2.8,No,155
Sports & Outdoors,172,392,96.32,47.9,45.64,4.1,No,446
Beauty & Personal Care,134,469,113.25,49.28,52.61,4.9,No,518
Home & Kitchen,300,324,79.96,124.6,118.25,4.0,No,378
Grocery,316,309,76.88,15.84,17.26,4.3,Yes,430
Electronics,158,264,64.27,671.18,684.18,4.0,No,292
Electronics,233,143,34.7,670.27,695.53,2.8,No,183
Home & Kitchen,573,186,45.58,163.41,178.51,3.4,No,218
Sports & Outdoors,204,94,22.82,220.14,230.36,4.3,No,168
Electronics,20,480,115.42,1187.05,1292.47,3.9,Yes,640
Sports & Outdoors,406,349,87.65,178.89,171.64,3.9,No,401
Grocery,175,117,29.54,6.91,6.39,3.6,Yes,250
Home & Kitchen,20,53,10.57,69.91,70.46,3.4,No,110
Beauty & Personal Care,145,440,109.35,41.26,45.31,4.6,Yes,572
Grocery,381,53,12.73,1.72,1.57,5.0,No,113
Fashion,146,428,101.95,114.57,108.58,2.7,Yes,528
Fashion,191,460,113.64,94.53,90.32,3.7,Yes,557
Fashion,157,307,79.7,142.54,141.61,3.8,No,354
Home & Kitchen,222,363,90.91,133.43,136.31,2.8,Yes,465
Electronics,577,255,65.3,377.14,378.52,4.7,No,318
Fashion,93,76,13.87,149.51,161.39,5.0,No,136
Electronics,199,82,17.98,1071.33,1021.11,4.0,Yes,190
Beauty & Personal Care,458,409,105.5,14.26,14.0,2.9,No,433
Beauty & Personal Care,44,330,82.63,73.27,74.32,4.6,No,367
Sports & Outdoors,174,230,58.89,202.4,208.81,4.5,No,297
Home & Kitchen,35,205,48.47,177.51,193.89,4.3,No,262
Grocery,299,451,113.19,18.97,17.68,4.2,No,503
Fashion,452,238,58.76,90.58,83.62,3.5,No,296
Sports & Outdoors,226,481,120.89,193.84,195.44,3.8,No,527
Beauty & Personal Care,528,491,121.08,63.5,69.18,4.2,Yes,610
Electronics,37,36,6.9,801.96,729.1,4.2,Yes,127
Sports & Outdoors,289,381,99.95,175.57,173.67,3.9,No,431
Beauty & Personal Care,386,171,46.25,29.48,31.48,3.4,Yes,297
Home & Kitchen,457,454,115.45,89.75,92.24,3.8,No,498
Home & Kitchen,275,436,109.73,53.69,50.61,4.0,No,478
Home & Kitchen,31,222,51.85,48.7,44.72,4.0,Yes,343
Grocery,157,363,92.57,4.58,4.15,4.0,No,420
Sports & Outdoors,505,220,59.91,73.17,74.02,5.0,No,299
Grocery,170,78,17.54,12.2,11.01,3.8,No,119
Grocery,50,315,79.52,19.11,17.76,4.2,Yes,436
Sports & Outdoors,593,106,23.02,180.08,182.23,3.3,No,148
Home & Kitchen,110,168,39.0,117.83,122.29,3.7,No,231
Sports & Outdoors,322,23,8.52,235.01,213.95,5.0,No,91
Home & Kitchen,26,332,81.99,135.56,137.0,5.0,No,418
Electronics,292,202,48.43,918.17,841.34,3.2,No,203
Grocery,39,314,83.68,6.87,7.55,4.2,No,365
Electronics,520,405,97.01,635.75,682.58,4.6,No,485
Home & Kitchen,254,378,94.59,113.23,113.55,5.0,No,437
Fashion,272,349,92.59,136.59,134.45,4.4,No,387
Grocery,482,251,66.49,7.04,7.43,3.8,No,295
Sports & Outdoors,18,16,1.99,57.53,61.61,2.7,No,53
Electronics,233,98,21.03,560.64,613.27,4.1,No,171
Home & Kitchen,596,454,113.22,85.37,80.88,4.2,No,496
Fashion,517,107,29.74,73.17,69.49,3.6,No,147
Home & Kitchen,160,135,29.84,125.05,121.47,4.9,No,197
Sports & Outdoors,286,122,28.95,246.87,228.25,3.9,No,173
Beauty & Personal Care,227,175,43.51,44.52,40.44,4.0,No,230
Grocery,379,192,49.28,4.45,4.12,2.4,Yes,287
Beauty & Personal Care,431,366,90.22,24.89,27.2,4.5,No,405
Fashion,349,428,114.21,132.3,134.17,3.9,Yes,562
Grocery,579,301,78.81,16.98,16.62,3.4,No,348
Electronics,328,175,46.77,971.5,984.52,3.7,No,245
Home & Kitchen,348,116,31.08,93.25,100.74,3.6,No,177
Sports & Outdoors,477,324,76.98,163.1,166.68,4.7,No,392
Grocery,7,442,117.24,1.84,1.87,4.2,No,483
Beauty & Personal Care,502,296,69.11,42.32,41.43,4.0,No,342
Beauty & Personal Care,145,421,110.71,39.02,42.12,3.1,Yes,548
Sports & Outdoors,160,289,72.15,75.34,72.1,3.2,No,302
Home & Kitchen,355,172,44.19,146.07,139.43,3.2,Yes,278
Home & Kitchen,40,88,20.38,66.1,69.98,4.3,Yes,206
Sports & Outdoors,30,399,99.3,102.77,103.31,4.1,No,473
Electronics,158,285,67.04,1031.85,1114.4,5.0,No,367
Grocery,246,114,25.33,11.46,11.84,4.1,No,156
Beauty & Personal Care,423,189,48.76,42.05,42.35,3.6,Yes,318
Fashion,558,471,124.38,67.77,69.05,4.1,Yes,593
Sports & Outdoors,222,139,37.68,247.95,229.52,4.7,Yes,275
Beauty & Personal Care,429,50,11.68,14.17,15.29,3.5,No,85
Home & Kitchen,234,283,68.47,162.07,153.44,3.9,No,345
Home & Kitchen,358,395,101.36,96.8,90.8,3.8,No,432
Sports & Outdoors,315,130,32.79,240.04,224.45,3.4,No,157
Electronics,241,69,17.49,943.97,915.19,4.7,No,129
Home & Kitchen,460,129,32.47,169.99,170.7,4.4,No,182
Home & Kitchen,365,52,14.09,40.27,36.75,3.7,No,97
Beauty & Personal Care,200,272,68.26,30.0,29.38,4.4,No,331
Home & Kitchen,162,115,32.96,84.3,84.32,4.5,No,151
Fashion,582,172,40.89,43.62,46.4,4.2,No,221
Sports & Outdoors,99,290,70.87,149.66,162.61,3.4,No,366
Sports & Outdoors,29,335,87.92,56.09,56.12,4.3,No,381
Beauty & Personal Care,536,496,125.05,44.44,42.06,4.1,No,529
Fashion,471,491,123.6,44.17,45.23,3.3,No,540
Fashion,87,280,63.95,43.59,43.46,4.4,No,346
Electronics,556,113,25.94,876.2,896.89,3.5,No,171
Home & Kitchen,578,235,62.32,128.54,129.24,3.2,No,275
Beauty & Personal Care,514,497,120.74,67.58,70.74,2.6,No,512
Beauty & Personal Care,17,260,63.83,64.9,65.97,3.2,No,305
Beauty & Personal Care,187,488,119.02,47.45,47.02,3.9,No,523
Fashion,109,246,63.16,124.44,127.28,3.7,No,307
Electronics,236,134,36.93,609.48,579.58,3.1,No,191
Fashion,471,278,67.68,135.84,139.55,3.5,No,322
Beauty & Personal Care,389,430,107.41,11.44,10.38,4.1,No,467
Sports & Outdoors,265,242,64.4,97.18,102.52,3.2,Yes,363
Beauty & Personal Care,364,364,88.61,45.06,48.65,3.8,No,390
Fashion,194,465,120.75,31.39,32.11,4.3,No,533
Fashion,355,280,68.07,147.3,150.3,4.5,No,364
Fashion,128,25,7.51,20.9,19.27,3.3,No,73
Fashion,117,487,120.22,140.32,145.26,3.4,No,507
Sports & Outdoors,306,133,35.99,221.63,210.92,5.0,No,206
Sports & Outdoors,545,149,40.62,78.29,78.91,3.3,No,188
Fashion,357,109,28.07,80.93,75.28,3.2,No,128
Grocery,190,205,51.74,22.11,21.82,3.3,Yes,314
Fashion,116,368,89.45,42.54,43.01,4.4,Yes,506
Beauty & Personal Care,18,407,101.35,62.79,56.95,3.9,No,459
Home & Kitchen,385,89,24.64,153.69,164.2,4.1,Yes,180
Home & Kitchen,409,34,6.47,36.19,37.37,4.4,Yes,158
Electronics,504,133,29.71,1067.98,1070.14,3.5,No,180
Home & Kitchen,323,390,102.39,162.95,155.45,4.6,No,459
Sports & Outdoors,187,131,30.8,200.32,201.01,3.1,No,167
Electronics,122,160,38.25,991.44,1044.3,3.8,No,216
Home & Kitchen,141,162,46.06,159.27,147.11,4.7,No,220
Fashion,258,414,104.41,147.25,137.39,2.9,No,461
Grocery,53,379,96.95,19.89,18.12,3.6,No,428
Beauty & Personal Care,317,88,22.47,53.44,48.63,4.1,No,136
Electronics,404,45,10.21,1118.75,1112.5,3.2,No,74
Sports & Outdoors,254,493,127.73,30.36,30.28,3.7,Yes,583
Fashion,476,431,110.1,119.2,109.34,4.5,No,471
Beauty & Personal Care,585,440,111.46,52.96,52.9,4.3,No,477
Electronics,293,417,105.95,474.13,516.52,3.3,No,469
Electronics,202,166,40.61,893.23,901.01,4.0,Yes,287
Beauty & Personal Care,298,16,7.45,55.82,52.65,5.0,No,84
Home & Kitchen,536,73,16.31,159.39,149.87,3.9,No,139
Home & Kitchen,385,228,57.82,13.41,12.41,3.2,No,273
Electronics,440,182,48.15,715.64,715.33,3.8,Yes,276
Grocery,76,417,101.14,11.87,11.15,4.8,No,462
Electronics,263,61,6.97,735.71,686.57,4.6,No,127
Beauty & Personal Care,548,430,108.05,55.11,51.28,5.0,Yes,545
Electronics,273,26,3.92,1187.84,1184.36,4.7,Yes,162
Grocery,480,367,89.43,2.19,2.33,3.5,No,390
Beauty & Personal Care,368,279,70.26,59.14,56.94,4.8,No,313
